,BlowingBubbles_384x192_50.yuv,,,,,BQSquare_384x192_60.yuv,,,,,BasketballPass_384x192_50.yuv,,,,,RaceHorses_384x192_30.yuv,,,,
,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses ,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses ,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses ,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses 
c7,--me tesa --bframes 1 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c8,--me tesa --bframes 0 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c9,--me tesa --bframes 4 --merange 50 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c10,--me tesa --bframes 4 --merange 36 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c11,--me tesa --bframes 4 --merange 22 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c12,--me tesa --bframes 4 --merange 8 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c13,--me tesa --bframes 4 --merange 64 --b-adapt 1 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c14,--me tesa --bframes 4 --merange 64 --b-adapt 0 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c15,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 1 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c16,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 0 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c17,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 1 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c18,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 0 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c19,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 4 --partitions all,,,,,,,,,,,,,,,,,,,
c20,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 3 --partitions all,,,,,,,,,,,,,,,,,,,
c21,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 2 --partitions all,,,,,,,,,,,,,,,,,,,
c22,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 1 --partitions all,,,,,,,,,,,,,,,,,,,
c23,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions b8x8,,,,,,,,,,,,,,,,,,,
c24,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions p4x4,,,,,,,,,,,,,,,,,,,
c25,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions p8x8,,,,,,,,,,,,,,,,,,,
c26,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions none,,,,,,,,,,,,,,,,,,,
