	RaceHorses_832x448_30.yuv 832 448 30			BasketballDrill_832x448_50.yuv 832 448 50			BQMall_832x448_60.yuv 832 448 60			PartyScene_832x448_50.yuv 832 448 50		
	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 
BSliceSearch8x8=0	0.15 	0.00 	-0.00 	0.11 	0.00 	-0.00 	0.10 	-0.00 	-0.00 	0.12 	0.00 	-0.00 	
UseRDOQuant=0	0.71 	-0.01 	-0.13 	0.50 	0.01 	-0.01 	0.48 	0.01 	0.01 	0.59 	0.01 	-0.06 	
WeightedPrediction=0	0.04 	0.00 	0.00 	0.02 	0.00 	0.00 	0.01 	0.00 	0.00 	0.02 	0.00 	0.00 	
BiPredMESubPel=1	0.08 	0.00 	-0.00 	0.05 	0.00 	-0.00 	0.05 	-0.00 	-0.00 	0.05 	0.00 	-0.00 	
BiPredMESubPel=0	0.11 	0.00 	-0.00 	0.10 	0.00 	-0.00 	0.09 	0.00 	-0.00 	0.09 	0.00 	-0.00 	
BSliceSearch8x16=0	0.14 	0.00 	-0.01 	0.11 	0.00 	-0.01 	0.10 	0.00 	-0.00 	0.11 	0.00 	-0.00 	
SearchMode=2	-0.99 	0.00 	-0.01 	-0.67 	0.00 	-0.01 	-0.52 	0.00 	-0.01 	-0.77 	0.00 	-0.01 	
SearchMode=1	-0.59 	0.00 	-0.04 	-0.37 	0.00 	-0.02 	-0.31 	0.00 	-0.02 	-0.39 	0.00 	-0.01 	
SearchMode=0	-21.46 	-0.00 	-0.00 	-35.98 	-0.00 	-0.01 	-37.40 	-0.00 	-0.00 	-25.21 	-0.00 	-0.01 	
EPZSPattern=4	-0.01 	-0.00 	0.00 	-0.03 	0.00 	0.00 	-0.02 	-0.00 	0.00 	-0.02 	-0.00 	0.00 	
EPZSPattern=3	0.05 	0.00 	-0.00 	0.02 	0.00 	0.00 	0.02 	-0.00 	-0.00 	0.02 	-0.00 	0.00 	
EPZSPattern=2	0.03 	-0.00 	-0.00 	0.01 	0.00 	0.00 	0.01 	-0.00 	-0.00 	0.01 	-0.00 	-0.00 	
EPZSPattern=1	0.05 	0.00 	-0.00 	0.02 	0.00 	-0.00 	0.02 	-0.00 	-0.00 	0.02 	0.00 	0.00 	
EPZSPattern=0	0.07 	0.00 	-0.00 	0.03 	0.00 	-0.00 	0.03 	-0.00 	0.00 	0.04 	-0.00 	-0.00 	
EPZSDualRefinement=5	0.01 	-0.00 	0.00 	-0.01 	0.00 	0.00 	-0.00 	-0.00 	0.00 	-0.01 	-0.00 	0.00 	
EPZSDualRefinement=4	0.04 	0.00 	-0.00 	0.01 	-0.00 	-0.00 	0.01 	0.00 	0.00 	0.02 	-0.00 	0.00 	
EPZSDualRefinement=3	0.04 	-0.00 	-0.00 	0.01 	-0.00 	0.00 	0.01 	0.00 	0.00 	0.01 	-0.00 	0.00 	
EPZSDualRefinement=2	0.04 	-0.00 	-0.00 	0.02 	0.00 	0.00 	0.01 	-0.00 	0.00 	0.02 	-0.00 	-0.00 	
