	RaceHorses_832x480_30.yuv 832x480 30		
	Time 	PSNR 	Bitrate 
c15	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 0 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c16	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 4 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c17	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 3 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c18	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 2 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c19	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 1 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c20	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 1 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c21	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 0 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c22	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 4 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c23	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 2 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c24	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 1 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
